Nationality,101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,"110 Agriculture, forestry & food science","111 Earth, marine & environmental sciences",112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,"117 Mineral, metallurgy & materials engineering",118 Civil engineering,"119 Electrical, electronic & computer engineering","120 Mechanical, aero & production engineering","121 IT, systems sciences & computer software engineering",122 Mathematics,"123 Architecture, built environment & planning",124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,"144 Music, dance, drama & performing arts",145 Media studies,Total academic cost centres,Total academic services,Central administration & services,Staff & student facilities,Premises ,Residences & catering ,Total all cost centres
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Belarus,5,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,65,0,0,0,0,0,65
Belgium,85,0,5,25,0,0,0,5,5,0,15,30,10,15,15,5,5,5,10,10,30,35,20,5,0,5,15,20,15,25,5,15,50,0,10,0,45,10,15,5,5,5,10,10,10,615,0,0,0,0,0,620
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia [Bolivia, Plurinational State of]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
Botswana,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Brazil,85,5,5,10,5,5,5,5,5,5,20,75,20,25,20,5,5,10,20,15,50,20,25,25,0,0,10,15,20,15,5,10,55,0,5,0,20,5,0,0,0,0,15,15,5,655,5,5,0,0,0,670
British Indian Ocean Territory (BIOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
"British Virgin Islands [Virgin Islands, British]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,10
Brunei [Brunei Darussalam],5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Bulgaria,35,0,5,25,0,0,0,0,0,5,5,30,5,20,10,5,0,5,10,15,50,10,15,5,0,0,0,15,15,15,5,10,45,5,5,0,10,5,5,0,0,5,10,5,10,430,0,0,0,0,0,435
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,70
Canada,170,5,25,90,5,15,5,20,10,10,35,140,30,50,25,5,5,15,20,25,35,50,25,35,5,15,15,75,25,60,20,40,100,0,45,5,20,60,75,10,20,20,55,70,40,"1,620",10,5,0,0,0,"1,635"
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Chile,25,0,5,5,0,0,5,0,5,0,10,25,0,10,5,0,5,0,5,0,5,5,15,5,0,0,5,5,5,10,5,10,20,0,20,0,10,5,5,0,5,0,10,0,5,270,0,0,0,0,0,270
China,470,10,30,70,10,15,40,10,10,20,90,245,230,195,420,135,120,145,510,445,490,210,120,50,10,5,20,35,185,60,10,20,820,10,75,5,165,15,15,0,10,5,50,15,20,"5,635",10,15,0,0,0,"5,660"
Colombia,20,0,0,5,0,0,0,0,0,0,5,15,5,5,10,5,5,5,10,5,5,10,15,10,0,0,0,10,5,5,0,5,15,0,5,0,5,0,5,0,0,0,0,5,5,195,0,0,0,0,0,200
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic) [Congo (The Democratic Republic of the)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,25
Croatia,30,0,0,10,0,0,0,0,5,0,0,30,5,10,5,0,0,0,5,5,10,10,5,0,0,0,0,0,0,10,0,5,15,5,5,0,5,10,0,0,0,0,10,5,0,210,0,5,0,0,0,215
Cuba,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Cyprus (European Union),95,0,10,20,0,5,5,0,0,0,5,45,10,15,20,10,5,5,30,20,40,25,15,0,0,0,0,10,10,30,0,5,50,0,20,0,5,5,5,5,0,0,15,5,0,555,0,0,0,0,0,555
Cyprus (Non-European Union),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,30,0,5,10,5,0,0,0,5,0,5,30,5,10,0,0,0,0,5,5,20,10,5,5,5,0,0,10,5,10,0,5,15,0,0,0,10,5,5,0,5,0,5,10,5,250,0,0,0,0,0,255
Czechoslovakia not otherwise specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,65,0,5,20,0,5,5,5,0,5,10,35,10,15,5,0,5,5,5,10,15,20,20,5,5,5,5,20,15,10,5,10,30,0,15,0,10,5,5,10,5,0,20,10,10,475,0,0,0,0,0,480
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
East Timor [Timor Leste],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Ecuador,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
Egypt,40,5,0,0,0,5,10,0,5,0,5,20,15,5,25,5,0,15,30,35,40,5,20,0,0,0,0,10,15,0,0,5,100,0,5,0,10,5,0,0,5,0,0,0,0,455,0,0,0,0,0,460
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Estonia,20,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,10,0,5,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,95,0,0,0,0,0,95
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
Falkland Islands [Falkland Islands (Malvinas)],0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,35,0,5,20,0,0,5,0,5,0,5,35,5,15,5,0,0,0,5,0,15,20,5,5,5,0,5,15,5,5,5,10,40,0,10,0,10,5,5,0,5,0,15,15,5,375,0,0,0,0,0,375
France,440,5,15,75,5,20,25,10,30,15,100,375,80,145,70,30,20,25,65,80,135,115,55,50,10,20,15,60,80,70,15,30,155,5,30,25,370,30,55,5,20,5,80,60,25,"3,155",15,5,0,0,0,"3,175"
"Gambia, The",5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Germany,570,15,50,320,10,40,30,15,35,15,130,485,120,280,85,30,35,30,75,75,290,290,80,70,15,20,35,245,155,130,50,95,465,10,75,20,295,70,140,35,60,30,175,120,65,"5,475",15,15,0,0,0,"5,505"
Ghana,20,0,5,0,5,0,5,0,0,0,5,15,5,0,5,0,0,10,5,5,0,5,20,10,0,0,0,5,15,5,0,10,105,0,10,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,290
Greece,415,30,65,170,20,20,15,30,20,25,40,220,40,80,105,50,15,110,160,140,300,150,130,30,5,15,15,75,145,150,35,50,525,10,100,15,45,35,25,30,15,5,100,65,70,"3,900",20,15,0,0,0,"3,940"
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong (Special Administrative Region of China) [Hong Kong],35,0,0,5,0,0,0,0,0,0,0,5,5,5,5,0,0,5,5,5,10,5,5,0,0,0,0,5,5,0,0,5,25,0,5,0,5,0,5,0,0,0,5,0,0,165,0,0,0,0,0,165
Hungary,60,0,5,35,5,5,5,5,5,5,5,40,5,25,10,5,5,0,10,10,30,35,10,10,5,0,0,10,15,15,5,5,30,0,15,0,10,5,10,5,0,0,10,10,10,490,0,0,0,0,0,495
Iceland,5,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,5,0,60,0,0,0,0,0,60
India,435,25,45,45,10,30,50,10,20,20,40,365,160,190,195,65,50,55,220,200,255,95,45,45,5,0,30,45,105,40,20,40,325,0,25,0,10,30,45,0,5,5,30,15,15,"3,450",5,5,0,0,0,"3,460"
Indonesia,20,0,5,0,0,0,0,0,0,0,0,15,5,5,10,5,0,10,10,5,15,5,0,5,0,0,0,5,5,0,0,0,25,0,0,0,5,0,0,0,0,0,5,0,5,180,0,0,0,0,0,180
"Iran [Iran, Islamic Republic of]",110,10,5,20,0,0,10,5,0,5,15,50,20,35,100,35,30,65,155,165,135,45,45,10,0,0,0,10,25,10,0,0,165,5,15,0,10,10,0,0,0,0,15,5,10,"1,355",0,5,0,0,0,"1,360"
Iraq,15,5,0,0,0,0,10,5,0,0,0,15,10,5,5,5,0,10,15,15,25,5,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,165
Ireland,545,35,355,215,70,85,50,80,40,25,50,280,55,80,65,15,10,50,60,85,140,75,100,55,5,15,15,110,30,240,80,85,300,20,170,15,100,155,115,15,20,10,140,170,105,"4,540",40,30,10,0,0,"4,620"
Israel,30,0,5,15,0,0,0,0,0,0,0,20,5,10,5,0,0,5,5,0,15,25,5,5,5,0,0,15,10,15,5,0,15,0,5,0,10,5,5,0,5,0,5,5,5,265,0,0,0,0,0,265
Italy,925,35,55,200,30,40,80,25,55,25,90,515,150,315,160,80,40,110,160,195,295,240,170,85,20,30,45,170,310,180,40,105,525,10,70,20,310,80,90,50,55,15,160,140,85,"6,595",25,20,0,0,0,"6,640"
Ivory Coast [Côte D'ivoire],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,35,0,0,0,0,0,35
Japan,90,0,0,25,0,5,5,0,5,0,5,70,10,30,10,0,5,0,10,5,15,25,10,5,10,0,0,15,30,5,0,5,30,0,5,15,130,10,5,0,0,0,20,25,5,645,5,0,0,0,0,650
Jordan,10,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,15,5,25,0,5,5,0,0,0,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,125
Kazakhstan,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
Kenya,35,0,5,0,0,0,5,0,0,0,5,10,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,5,0,15,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,145
"Korea (North) [Korea, Democratic People's Republic of]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
"Korea (South) [Korea, Republic of]",45,0,0,10,0,5,0,5,0,0,5,30,15,20,30,10,10,5,20,30,20,15,10,5,0,0,0,15,25,0,5,5,85,5,10,5,25,0,0,0,0,0,15,10,5,510,5,0,0,0,0,515
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Latvia,15,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,5,10,5,5,0,0,0,0,0,5,0,0,5,10,0,5,0,0,0,0,0,0,0,5,0,0,105,0,0,0,0,0,110
Lebanon,20,0,0,5,0,0,0,0,0,0,5,20,5,5,0,0,0,0,5,10,10,0,5,0,0,0,0,10,5,0,0,0,15,0,5,0,5,0,0,0,0,0,5,0,5,145,0,0,0,0,0,145
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,15,5,0,0,0,0,5,0,0,0,0,10,0,0,10,0,0,5,20,10,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,125,5,0,0,0,0,130
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,35,5,5,10,5,0,0,0,0,0,5,25,15,20,10,0,0,0,10,10,25,10,5,0,0,0,0,5,10,10,0,5,20,0,5,0,0,0,0,0,0,0,5,10,5,265,0,5,0,0,0,270
Luxembourg,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
Macao (Special Administrative Region of China) [Macao],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45
Malaysia,165,5,15,15,5,10,15,0,5,5,0,30,15,10,30,10,5,15,30,35,35,10,10,0,0,0,0,0,5,10,0,0,95,5,10,0,5,0,0,0,0,0,10,5,0,635,5,5,0,0,0,640
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Malta,25,5,10,10,0,0,0,0,0,0,0,10,5,5,5,0,0,0,5,5,10,5,5,0,0,0,0,5,0,5,0,0,5,0,5,0,0,0,5,0,0,0,0,5,0,145,0,0,0,0,0,145
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Mauritius,5,0,5,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,5,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,75
Mexico,70,5,5,15,0,0,5,5,5,5,20,70,10,25,30,20,10,10,35,30,35,35,25,10,0,0,5,10,15,5,5,10,45,0,15,0,10,5,5,0,5,0,10,5,5,635,0,0,0,0,0,640
"Moldova [Moldova, Republic of]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
